id,title,link,district,type,name,value,function,location
9110083007,Lückstraße 63,https://www.infravelo.de/projekt/lueckstrasse-63/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,20,parking,POINT (52.5019257 13.4901616)
9100031030,Ludwig-Renn-Straße 33 B,https://www.infravelo.de/projekt/ludwig-renn-strasse-33-b/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,10,parking,POINT (52.5521354 13.5561033)
9040057006,Ludwigkirchstraße  10 a,https://www.infravelo.de/projekt/ludwigkirchstrasse-10-a/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.4978443 13.3249871)
9040057007,Ludwigkirchstraße 5,https://www.infravelo.de/projekt/ludwigkirchstrasse-5/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,10,parking,POINT (52.4981678 13.3249167)
9040058008,Luisenplatz ,https://www.infravelo.de/projekt/luisenplatz-1/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.5198454 13.2994654)
9010078001,Luxemburger Straße 18,https://www.infravelo.de/projekt/luxemburger-strasse-18/,Mitte,Anlehnbügel,Anzahl Stellplätze,12,parking,POINT (52.5446655 13.356352)
9030082065,Lychener Straße 30,https://www.infravelo.de/projekt/lychener-strasse-30-1/,Pankow,Lastenfahrradbügel,Anzahl Stellplätze,2,parking,POINT (52.5431965 13.4171996)
9030069006,Lychener Straße 30,https://www.infravelo.de/projekt/lychener-strasse-30/,Pankow,Anlehnbügel,Anzahl Stellplätze,22,parking,POINT (52.5431965 13.4171996)
9030070006,Lychener Straße 55,https://www.infravelo.de/projekt/lychener-strasse-55/,Pankow,Anlehnbügel,Anzahl Stellplätze,44,parking,POINT (52.5449235 13.4187126)
9030068006,Mahlerstraße 5,https://www.infravelo.de/projekt/mahlerstrasse-5/,Pankow,Anlehnbügel,Anzahl Stellplätze,16,parking,POINT (52.5482579 13.4531866)
9080031174,Mahlower Str. 12,https://www.infravelo.de/projekt/mahlower-str-12/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4392319 13.5671187)
9080031175,Mahlower Str. 13,https://www.infravelo.de/projekt/mahlower-str-13/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4796651 13.420518)
9080031173,Mahlower Str. 15,https://www.infravelo.de/projekt/mahlower-str-15/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4796252 13.4201505)
9080031176,Mahlower Str. 25,https://www.infravelo.de/projekt/mahlower-str-25/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking,POINT (52.4796638 13.4227586)
9080031177,Mahlower Str. 27,https://www.infravelo.de/projekt/mahlower-str-27/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking,POINT (52.4797875 13.4237468)
9080031557,Mahlower Straße 24,https://www.infravelo.de/projekt/mahlower-strasse-24/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4384461 13.5667751)
