id,title,link,district,type,name,value,function
9080031421,Karl-Marx-Straße 145,https://www.infravelo.de/projekt/karl-marx-strasse-145/,Neukölln,Anlehnbügel,Anzahl Stellplätze,14,parking
9080031136,Karl-Marx-Straße 91,https://www.infravelo.de/projekt/karl-marx-strasse-91/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080036022,Karlsgartenstr. 9 / 10,https://www.infravelo.de/projekt/karlsgartenstr-9-10/,Neukölln,Anlehnbügel,Anzahl Stellplätze,12,parking
9080031137,Karlsgartenstraße 3,https://www.infravelo.de/projekt/karlsgartenstrasse-3/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031138,Karlsgartenstraße 4,https://www.infravelo.de/projekt/karlsgartenstrasse-4/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031139,Karlsgartenstraße 5,https://www.infravelo.de/projekt/karlsgartenstrasse-5/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031142,Karlsgartenstraße 6,https://www.infravelo.de/projekt/karlsgartenstrasse-6-2/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031536,Karlsgartenstraße 6,https://www.infravelo.de/projekt/karlsgartenstrasse-6-3/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031140,Karlsgartenstraße 6,https://www.infravelo.de/projekt/karlsgartenstrasse-6/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031141,Karlsgartenstraße 6,https://www.infravelo.de/projekt/karlsgartenstrasse-6-1/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031143,Karlsgartenstraße 7,https://www.infravelo.de/projekt/karlsgartenstrasse-7/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9030079022,Karower Damm 8,https://www.infravelo.de/projekt/karower-damm-8/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking
9100031049,Kastanienallee  53,https://www.infravelo.de/projekt/kastanienallee-53/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,4,parking
9100031050,Kastanienallee  55,https://www.infravelo.de/projekt/kastanienallee-55/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,8,parking
9030071009,Kastanienallee 17,https://www.infravelo.de/projekt/kastanienallee-17/,Pankow,Anlehnbügel,Anzahl Stellplätze,30,parking
9030087011,Kastanienallee 77,https://www.infravelo.de/projekt/kastanienallee-77/,Pankow,Anlehnbügel,Anzahl Stellplätze,8,parking
9030082044,Käthe-Niederkirchner-Straße 21,https://www.infravelo.de/projekt/kaethe-niederkirchner-strasse-21/,Pankow,Anlehnbügel,Anzahl Stellplätze,36,parking
9030082045,Käthe-Niederkirchner-Straße 29,https://www.infravelo.de/projekt/kaethe-niederkirchner-strasse-29/,Pankow,Anlehnbügel,Anzahl Stellplätze,18,parking
9030082046,Käthe-Niederkirchner-Straße 3,https://www.infravelo.de/projekt/kaethe-niederkirchner-strasse-3/,Pankow,Anlehnbügel,Anzahl Stellplätze,12,parking
9020086039,Katzbachstraße 36,https://www.infravelo.de/projekt/katzbachstrasse-36/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,18,parking
9070089017,Keithstraße  11,https://www.infravelo.de/projekt/keithstrasse-11/,Tempelhof-Schöneberg,Anlehnbügel,Anzahl Stellplätze,8,parking
9040080004,Keplerstraße 1,https://www.infravelo.de/projekt/keplerstrasse-1/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,8,parking
9090083004,Kiefholzstraße 45,https://www.infravelo.de/projekt/kiefholzstrasse-45/,Treptow-Köpenick,Anlehnbügel,Anzahl Stellplätze,54,parking
9080031537,Kiehlufer 45,https://www.infravelo.de/projekt/kiehlufer-45/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031144,Kiehlufer 49,https://www.infravelo.de/projekt/kiehlufer-49/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031145,Kiehlufer 51/53,https://www.infravelo.de/projekt/kiehlufer-51-53/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031539,Kiehlufer 55,https://www.infravelo.de/projekt/kiehlufer-55/,Neukölln,Anlehnbügel,Anzahl Stellplätze,12,parking
9080031146,Kiehlufer 65,https://www.infravelo.de/projekt/kiehlufer-65/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031147,Kiehlufer 69,https://www.infravelo.de/projekt/kiehlufer-69/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031538,Kiehlufer 73,https://www.infravelo.de/projekt/kiehlufer-73/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031148,Kiehlufer 75,https://www.infravelo.de/projekt/kiehlufer-75/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080049002,Kiehlufer Eingang 1 62,https://www.infravelo.de/projekt/kiehlufer-eingang-1-62/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080049003,Kiehufer Eingang 2 62,https://www.infravelo.de/projekt/kiehufer-eingang-2-62/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031149,Kienitzer Str.  16,https://www.infravelo.de/projekt/kienitzer-str-16/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080037021,Kienitzer Str. 99,https://www.infravelo.de/projekt/kienitzer-str-99/,Neukölln,Lastenfahrradbügel,Anzahl Stellplätze,3,parking
9080031151,Kienitzer Straße  104,https://www.infravelo.de/projekt/kienitzer-strasse-104/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031152,Kienitzer Straße 91,https://www.infravelo.de/projekt/kienitzer-strasse-91/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031153,Kienitzer Straße 92,https://www.infravelo.de/projekt/kienitzer-strasse-92/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031154,Kienitzer Straße 96,https://www.infravelo.de/projekt/kienitzer-strasse-96/,Neukölln,Anlehnbügel,Anzahl Stellplätze,2,parking
9080031155,Kienitzer Straße 99,https://www.infravelo.de/projekt/kienitzer-strasse-99/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080036019,Kienitzerstr. 97,https://www.infravelo.de/projekt/kienitzerstr-97/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9080031156,Kirchhofstraße 48,https://www.infravelo.de/projekt/kirchhofstrasse-48/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking
9030087006,Kissingenplatz 13,https://www.infravelo.de/projekt/kissingenplatz-13/,Pankow,Anlehnbügel,Anzahl Stellplätze,6,parking
9040052002,Klausenerplatz 7,https://www.infravelo.de/projekt/klausenerplatz-7/,Charlottenburg-Wilmersdorf,Fahrradbox,Anzahl Stellplätze,6,road
9010102100,Kleine Hamburger Straße 25A,https://www.infravelo.de/projekt/kleine-hamburger-strasse-25a/,Mitte,Anlehnbügel,Anzahl Stellplätze,4,parking
9010102099,Kleine Hamburger Straße 3,https://www.infravelo.de/projekt/kleine-hamburger-strasse-3/,Mitte,Anlehnbügel,Anzahl Stellplätze,6,parking
9010102009,Klever Straße / Eulerstraße ,https://www.infravelo.de/projekt/klever-strasse-eulerstrasse-6/,Mitte,Lastenfahrradbügel,Anzahl Stellplätze,6,parking
9010102010,Klever Straße / Eulerstraße ,https://www.infravelo.de/projekt/klever-strasse-eulerstrasse-5/,Mitte,Anlehnbügel,Anzahl Stellplätze,8,parking
9010102011,Klever Straße / Eulerstraße ,https://www.infravelo.de/projekt/klever-strasse-eulerstrasse-4/,Mitte,Anlehnbügel,Anzahl Stellplätze,8,parking
9010102012,Klever Straße / Eulerstraße ,https://www.infravelo.de/projekt/klever-strasse-eulerstrasse-3/,Mitte,Anlehnbügel,Anzahl Stellplätze,8,parking
9010102013,Klever Straße / Eulerstraße ,https://www.infravelo.de/projekt/klever-strasse-eulerstrasse-2/,Mitte,Anlehnbügel,Anzahl Stellplätze,10,parking
9010102014,Klever Straße / Eulerstraße ,https://www.infravelo.de/projekt/klever-strasse-eulerstrasse-1/,Mitte,Anlehnbügel,Anzahl Stellplätze,8,parking
9010102015,Klever Straße / Eulerstraße ,https://www.infravelo.de/projekt/klever-strasse-eulerstrasse/,Mitte,Anlehnbügel,Anzahl Stellplätze,8,parking
9040052009,Knobelsdorffstraße 33,https://www.infravelo.de/projekt/knobelsdorffstrasse-33/,Charlottenburg-Wilmersdorf,Fahrradbox,Anzahl Stellplätze,6,road
9020086142,Knorrpromenade / Krossener Straße ,https://www.infravelo.de/projekt/knorrpromenade-krossener-strasse/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,24,parking
9020086141,Knorrpromenade 3,https://www.infravelo.de/projekt/knorrpromenade-3/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,30,parking
9010102033,Kommandantenstraße 22,https://www.infravelo.de/projekt/kommandantenstrasse-22/,Mitte,Anlehnbügel,Anzahl Stellplätze,10,parking
9010102083,Kommandantenstraße 72,https://www.infravelo.de/projekt/kommandantenstrasse-72/,Mitte,Anlehnbügel,Anzahl Stellplätze,10,parking
9010102082,Kommandantenstraße 75,https://www.infravelo.de/projekt/kommandantenstrasse-75/,Mitte,Anlehnbügel,Anzahl Stellplätze,10,parking
9060092021,Königstr./Martin-Buber-Str. ,https://www.infravelo.de/projekt/koenigstr-martin-buber-str/,Steglitz-Zehlendorf,Anlehnbügel,Anzahl Stellplätze,20,parking
9040078072,Konstanzer Str 4,https://www.infravelo.de/projekt/konstanzer-str-4/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,4,parking
9030087045,Kopenhagener Straße 28,https://www.infravelo.de/projekt/kopenhagener-strasse-28/,Pankow,Anlehnbügel,Anzahl Stellplätze,84,parking
9030071001,Kopenhagener Straße 35,https://www.infravelo.de/projekt/kopenhagener-strasse-35/,Pankow,Anlehnbügel,Anzahl Stellplätze,38,parking
9080031543,Köpenicker Straße 154,https://www.infravelo.de/projekt/koepenicker-strasse-154/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9090062001,"Köpenzeile 117, 123, 125",https://www.infravelo.de/projekt/koepenzeile-117-123-125/,Treptow-Köpenick,Anlehnbügel,Anzahl Stellplätze,130,parking
9080031544,Kopfstraße 59,https://www.infravelo.de/projekt/kopfstrasse-59/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9030087046,Korsörer Straße 1,https://www.infravelo.de/projekt/korsoerer-strasse-1/,Pankow,Anlehnbügel,Anzahl Stellplätze,12,parking
9020086055,Körtestraße 12,https://www.infravelo.de/projekt/koertestrasse-12/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,16,parking
9020086056,Körtestraße 33,https://www.infravelo.de/projekt/koertestrasse-33/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,56,parking
9020086054,Körtestraße 9,https://www.infravelo.de/projekt/koertestrasse-9/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,24,parking
9110083001,Kraetkestraße 3,https://www.infravelo.de/projekt/kraetkestrasse-3/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,6,parking
9110083003,Kraetkestraße 38,https://www.infravelo.de/projekt/kraetkestrasse-38/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,12,parking
9110083002,Kraetkestraße 4,https://www.infravelo.de/projekt/kraetkestrasse-4/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,6,parking
9110083004,Kraetkestraße 41,https://www.infravelo.de/projekt/kraetkestrasse-41/,Lichtenberg,Anlehnbügel,Anzahl Stellplätze,8,parking
9060092011,Kranoldplatz Ferdinandstr. ,https://www.infravelo.de/projekt/kranoldplatz-ferdinandstr/,Steglitz-Zehlendorf,Anlehnbügel,Anzahl Stellplätze,60,parking
9080035023,Kranoldstr. 11,https://www.infravelo.de/projekt/kranoldstr-11/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080031547,Kranoldstraße 9,https://www.infravelo.de/projekt/kranoldstrasse-9/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking
9080035002,Krebsgang - ggü. Eingang S Köllnische Heide ,https://www.infravelo.de/projekt/krebsgang-ggue-eingang-s-koellnische-heide/,Neukölln,Anlehnbügel,Anzahl Stellplätze,8,parking
9020086044,Kreuzbergstraße 26,https://www.infravelo.de/projekt/kreuzbergstrasse-26/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,10,parking
9030099034,Krügerstraße 13,https://www.infravelo.de/projekt/kruegerstrasse-13/,Pankow,Anlehnbügel,Anzahl Stellplätze,4,parking
