highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
secondary,2.0,,70.0,,,L 402,good,"LINESTRING (13.5213996 52.3447049, 13.52171 52.3447592, 13.5236143 52.3450718, 13.5241616 52.3451633, 13.5258239 52.3454412, 13.5279364 52.3457912, 13.5288465 52.3459425, 13.5299333 52.3461227, 13.5307471 52.3462576, 13.5321065 52.3464828, 13.53468 52.3469067, 13.5352424 52.3470005, 13.5358554 52.3471026, 13.5365519 52.3472188, 13.5370787 52.3473066, 13.5373273 52.347348, 13.537603 52.3473936, 13.5379736 52.3474317, 13.5382691 52.3474464, 13.5389344 52.3474274, 13.5392067 52.3474012, 13.5395145 52.3473544, 13.5436369 52.3465252, 13.5450197 52.3462464)"
secondary,2.0,yes,50.0,,,L 400,good,"LINESTRING (13.5573551 52.358544, 13.5573753 52.3582149, 13.5573778 52.3581612)"
primary,3.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4248837 52.3670682, 13.4243678 52.3670813, 13.424037 52.3670876)"
primary,2.0,,70.0,,yes,,good,"LINESTRING (13.4225727 52.3671067, 13.422458 52.3671072, 13.422334 52.3671059)"
primary,3.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4241311 52.3669472, 13.4249733 52.3669373)"
primary,3.0,,70.0,,yes,B 96a,good,"LINESTRING (13.4249733 52.3669373, 13.4261077 52.3669244, 13.4262612 52.3669176)"
primary,2.0,,100.0,,yes,B 96a,good,"LINESTRING (13.4348654 52.366405, 13.4344188 52.3664757)"
primary,2.0,,100.0,,yes,B 96a,good,"LINESTRING (13.4344188 52.3664757, 13.433388 52.3666258, 13.4317348 52.3668132, 13.4304494 52.3669082, 13.4285161 52.3669864)"
primary,2.0,,100.0,,yes,B 96a,good,"LINESTRING (13.434333 52.3663861, 13.4347824 52.3663178)"
primary,2.0,,100.0,,yes,B 96a,good,"LINESTRING (13.4347824 52.3663178, 13.4360928 52.3660689, 13.4370217 52.3658621, 13.4374751 52.3657562, 13.4381988 52.3655737)"
secondary,,yes,50.0,,,,good,"LINESTRING (13.3164546 52.5669065, 13.3164129 52.5668356)"
secondary,2.0,,,,,L 400,good,"LINESTRING (13.5576487 52.3508913, 13.5576849 52.3500358, 13.5577097 52.3496996, 13.5577407 52.3495489, 13.5577863 52.3494082, 13.5578496 52.3492477, 13.5579334 52.3490758, 13.5580231 52.3489333, 13.558111 52.3488168, 13.5582449 52.3486542, 13.5584509 52.3484535, 13.5585918 52.3483427, 13.5587467 52.3482238, 13.5589618 52.3480844, 13.5592779 52.3478883, 13.5604592 52.3471503, 13.5606663 52.3470115, 13.5607418 52.3469582, 13.5607816 52.3469287, 13.560918 52.3468224, 13.5612601 52.3465213, 13.5614735 52.3463189, 13.5616547 52.3461461, 13.5623522 52.3454891, 13.5632542 52.3446467)"
secondary,2.0,,,,,L 400,good,"LINESTRING (13.5576417 52.3510827, 13.5576487 52.3508913)"
secondary,2.0,,100.0,,,L 33,excellent,"LINESTRING (13.6822248 52.5523259, 13.682785 52.5524168, 13.6834215 52.5525065, 13.6840323 52.5525758, 13.6846447 52.5526329, 13.6852741 52.5526786, 13.6859925 52.5527131, 13.6864731 52.5527275, 13.6873532 52.5527329, 13.6879362 52.5527202, 13.6883976 52.5527038, 13.6890343 52.552667, 13.6895911 52.5526247, 13.6903164 52.5525539, 13.6907941 52.5524975, 13.6913792 52.5524174, 13.6919904 52.5523173, 13.6925218 52.5522209, 13.6931357 52.5520939, 13.6937356 52.5519507)"
secondary,2.0,yes,40.0,,,,,"LINESTRING (13.2744046 52.5007798, 13.2752862 52.5003597)"
secondary,2.0,yes,40.0,,,,,"LINESTRING (13.2752862 52.5003597, 13.2754179 52.5002974, 13.2755281 52.5002291, 13.2756383 52.5001476, 13.2756941 52.500096, 13.2757707 52.500015, 13.2758125 52.4999552, 13.2758595 52.4998841, 13.2759055 52.4998015, 13.2759555 52.4996277)"
primary,3.0,yes,50.0,,yes,,good,"LINESTRING (13.4156569 52.5267704, 13.4157806 52.5268899, 13.4158127 52.5269197, 13.4158348 52.5269413, 13.4158593 52.5269649, 13.4159447 52.5270469)"
secondary,1.0,,,,,,good,"LINESTRING (13.7465949 52.472483, 13.7465254 52.4724817, 13.7464611 52.4724664, 13.7464089 52.4724388, 13.7463751 52.4724021, 13.7463634 52.4723607, 13.7463752 52.4723192, 13.7464014 52.4722888, 13.7464404 52.4722639, 13.7464892 52.4722466, 13.7465439 52.4722381, 13.7466003 52.4722392, 13.7466559 52.4722502, 13.7467041 52.4722705, 13.7467407 52.4722983, 13.7467628 52.4723313, 13.7467684 52.4723668, 13.7467532 52.4724081, 13.7467159 52.4724439, 13.746661 52.4724698, 13.7465949 52.472483)"
secondary,3.0,yes,50.0,,,,good,"LINESTRING (13.3245354 52.517045, 13.3244129 52.516939)"
primary,2.0,no,100.0,,yes,B 101,,"LINESTRING (13.342771 52.3923591, 13.3444336 52.3935107, 13.3454667 52.3942439, 13.3457692 52.394506, 13.3460356 52.3947853, 13.3461836 52.3949767, 13.3463006 52.3951413, 13.3464705 52.3954456, 13.3467634 52.3960989, 13.3469339 52.3964057, 13.3471249 52.3966669, 13.3473811 52.3969524, 13.3500974 52.3994953, 13.3511356 52.4004617)"
secondary,2.0,,100.0,,,L 33,good,"LINESTRING (13.723842 52.5445137, 13.7248568 52.5447963, 13.7256467 52.5451228, 13.7263612 52.5454983, 13.7271169 52.5460476, 13.7277442 52.5465934, 13.7281219 52.547018, 13.7288584 52.5480463, 13.7291272 52.548505, 13.7301104 52.5504428, 13.730654 52.5513745, 13.7313163 52.5522675, 13.7319896 52.5530038, 13.7327041 52.5536432, 13.7331684 52.5540018, 13.7340536 52.5546123, 13.7351932 52.5552751)"
secondary,2.0,,100.0,,,L 33,,"LINESTRING (13.7106339 52.5448783, 13.7108452 52.5448505, 13.7113947 52.5447928, 13.7121022 52.5447482, 13.7130565 52.5446885, 13.7158566 52.5445162, 13.719033 52.5443177)"
