highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
tertiary,2.0,no,70,,,K 6427,good,"LINESTRING (13.7321746 52.5723622, 13.7325979 52.5724995, 13.7340198 52.5729311, 13.7355231 52.5733834, 13.7356967 52.5734429, 13.73588 52.5735157, 13.7390639 52.5749168, 13.7393296 52.575021, 13.7405895 52.5754251, 13.7408541 52.5755058, 13.741071 52.5755634, 13.7413321 52.5756261, 13.7425608 52.57589, 13.7451629 52.5764461, 13.7470469 52.5768444, 13.7474139 52.5769108, 13.7488962 52.5771428, 13.7506178 52.5774076, 13.7511874 52.5774911, 13.7515085 52.5775287, 13.7519315 52.5775696, 13.7533037 52.5776985, 13.7537725 52.5777618, 13.7546019 52.5778925, 13.7549766 52.5779586)"
tertiary,2.0,yes,50,,,,good,"LINESTRING (13.3189679 52.5192933, 13.319034 52.5193259)"
tertiary,,yes,50,,,,good,"LINESTRING (13.4480478 52.4776976, 13.448083 52.4778145)"
residential,,,30,,,,,"LINESTRING (13.4229554 52.6775364, 13.4228342 52.677536, 13.4226017 52.677564)"
residential,,yes,30,,,,,"LINESTRING (13.3384595 52.4840542, 13.3383155 52.4840603)"
residential,,yes,30,,,,,"LINESTRING (13.3385147 52.4845524, 13.3383849 52.4845589)"
residential,,yes,30,,,,,"LINESTRING (13.3384441 52.4850542, 13.3385826 52.4850479)"
residential,1.0,yes,,,,,bad,"LINESTRING (13.5030911 52.4431582, 13.5030662 52.4432144, 13.5030441 52.4433151, 13.5030223 52.4433993, 13.5030159 52.4434149, 13.5029331 52.4434508)"
residential,,yes,50,,yes,,excellent,"LINESTRING (13.3374565 52.5586292, 13.33756 52.5586855)"
tertiary,2.0,,,,,K 6169,good,"LINESTRING (13.4489977 52.3477806, 13.448853 52.3477195, 13.4483788 52.3475504, 13.4482976 52.3475256, 13.4479649 52.3474272, 13.4475269 52.3473132)"
residential,,yes,50,,,,excellent,"LINESTRING (13.3377612 52.4736976, 13.3379216 52.4736232)"
residential,,yes,30,,,,,"LINESTRING (13.416988 52.5587842, 13.4170175 52.5586948, 13.4170519 52.5585907, 13.4170898 52.5585368)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.5642392 52.3943014, 13.5646673 52.3947978, 13.5649765 52.3951866, 13.5650112 52.3952514)"
residential,1.0,yes,50,,,,,"LINESTRING (13.5077019 52.4504368, 13.5079138 52.4504124, 13.5079613 52.4504069, 13.5081143 52.4503893)"
residential,,yes,50,,,,good,"LINESTRING (13.4030687 52.4984511, 13.4030541 52.4983039)"
residential,2.0,yes,50,,,,good,"LINESTRING (13.4262056 52.4991055, 13.4262395 52.4991415, 13.4263166 52.4992232, 13.4263508 52.4992595, 13.4264084 52.4993206)"
tertiary,2.0,yes,50,,,,excellent,"LINESTRING (13.3720857 52.5194033, 13.3720846 52.5195725)"
tertiary,2.0,yes,50,,yes,,excellent,"LINESTRING (13.5282505 52.3677993, 13.5283847 52.3678813, 13.528556 52.3679651, 13.5287949 52.3680318, 13.529035 52.3680884)"
residential,,,,,,,bad,"LINESTRING (13.3759292 52.6736155, 13.3759296 52.6735925, 13.3759182 52.6735694, 13.37588 52.6735551, 13.375833 52.6735474, 13.375245 52.6734852, 13.3746475 52.6734384, 13.3739292 52.6733558)"
tertiary,2.0,no,70,,,,excellent,"LINESTRING (13.5490109 52.3764634, 13.5489641 52.3765158, 13.5487348 52.376734, 13.5484754 52.376924, 13.5481687 52.3771022, 13.5479793 52.3771919, 13.5478759 52.3772373, 13.5477188 52.3772989, 13.5475291 52.377365, 13.5473175 52.3774259, 13.5470232 52.3774952, 13.5467135 52.3775487, 13.5463098 52.377596, 13.5458963 52.3776146)"
tertiary,2.0,no,80,,,K 6169,good,"LINESTRING (13.4677319 52.3660744, 13.4678937 52.3659677, 13.4680303 52.3658858, 13.4681709 52.3658128, 13.4682893 52.3657555, 13.4684271 52.3656978, 13.4686959 52.3656057, 13.4691224 52.3654854, 13.46976 52.3653191, 13.4698517 52.3652948, 13.4700948 52.3652228, 13.4704063 52.3651109, 13.4704831 52.3650779, 13.4706621 52.3649949, 13.4708586 52.3648901, 13.4714726 52.3645303, 13.4715241 52.3644966, 13.471709 52.3643758, 13.4719999 52.3641688, 13.4721372 52.3640622, 13.4723293 52.3639089, 13.4728186 52.3634972, 13.4730095 52.3633557, 13.4731771 52.363255, 13.4735077 52.3630955)"
tertiary,,yes,30,,yes,,,"LINESTRING (13.516236 52.3675339, 13.5160996 52.367561, 13.5159736 52.3676208, 13.5157457 52.3677656)"
residential,,,,,,,,"LINESTRING (13.4328998 52.6557861, 13.4326313 52.655365)"
tertiary,3.0,,,,,K 6169,good,"LINESTRING (13.4471475 52.347215, 13.4467508 52.3471206, 13.4466797 52.3471049)"
tertiary,2.0,,,,,K 7238,good,"LINESTRING (13.4465408 52.3470739, 13.4464229 52.3470467, 13.446272 52.3470098)"
tertiary,3.0,no,60,,,K 6169,good,"LINESTRING (13.4743898 52.3627986, 13.474838 52.3627119)"
tertiary,2.0,,,,,K 7238,good,"LINESTRING (13.4452817 52.3468114, 13.4456065 52.3468774)"
residential,,,30,,,,,"LINESTRING (13.3698999 52.6513561, 13.3697175 52.6513252, 13.3694708 52.6512617, 13.3692267 52.651182, 13.3690684 52.6511136, 13.3689853 52.6510632, 13.3689317 52.651003, 13.3689129 52.6509574, 13.3689137 52.6509419, 13.3689156 52.650907, 13.3689424 52.6508321, 13.3690389 52.6506629, 13.369114 52.6505099, 13.369157 52.6503993, 13.3692099 52.6502987, 13.3693066 52.6501538, 13.3694543 52.6499618)"
residential,,,30,,,,,"LINESTRING (13.369902 52.6501222, 13.3697825 52.6501902, 13.3695857 52.6502632, 13.3694003 52.6503237, 13.3692602 52.6503713, 13.369157 52.6503993)"
residential,,yes,30,,,,,"LINESTRING (13.2416439 52.5064405, 13.2415006 52.506591)"
residential,,yes,50,,,,excellent,"LINESTRING (13.3370854 52.473162, 13.3372434 52.4730882)"
residential,,,30,,,,,"LINESTRING (13.1957348 52.647206, 13.1954711 52.6472838)"
residential,,yes,50,,,,excellent,"LINESTRING (13.3360632 52.4723469, 13.3362285 52.4722731)"
residential,,yes,50,,yes,,,"LINESTRING (13.3438911 52.4856211, 13.343958 52.4855879, 13.3440366 52.4855525)"
residential,,yes,50,,yes,,good,"LINESTRING (13.3440366 52.4855525, 13.3440606 52.4856028, 13.3440774 52.4856447)"
residential,,yes,30,,yes,,intermediate,"LINESTRING (13.3329775 52.4716404, 13.3329328 52.4716732, 13.3328792 52.4717006, 13.3328184 52.4717217, 13.3327524 52.4717359, 13.332685 52.4717421, 13.3326635 52.4717431, 13.3326412 52.4717426, 13.3325644 52.4717364, 13.33249 52.4717204, 13.3324224 52.4716955, 13.3323643 52.4716629, 13.3323183 52.4716238, 13.3322862 52.4715798, 13.3322683 52.4715319, 13.3322669 52.4715122, 13.3322668 52.4714923, 13.3322791 52.4714463, 13.332305 52.4714032, 13.3323439 52.4713639, 13.3323946 52.4713299, 13.332455 52.4713025, 13.332523 52.4712827, 13.3325947 52.4712717, 13.3326353 52.4712687, 13.3326711 52.4712677, 13.3327554 52.4712761, 13.3328328 52.471294, 13.3329023 52.4713215, 13.3329607 52.4713573, 13.3330053 52.4713998, 13.3330342 52.471447, 13.3330464 52.4714975, 13.3330463 52.4715063, 13.3330455 52.4715208, 13.3330348 52.4715629, 13.3330119 52.4716032, 13.3329775 52.4716404)"
residential,,no,30,,,,bad,"LINESTRING (13.7173285 52.4699818, 13.7174674 52.4700116, 13.7177073 52.4701415, 13.71784 52.4702453, 13.718143 52.4704319)"
residential,,yes,50,,,,excellent,"LINESTRING (13.4220459 52.4929739, 13.4221515 52.4929839)"
residential,,yes,30,,,,good,"LINESTRING (13.7567508 52.6241267, 13.7565205 52.6237964)"
residential,,yes,50,,,,good,"LINESTRING (13.342259 52.5560231, 13.3421603 52.5559517)"
tertiary,2.0,no,70,,,,excellent,"LINESTRING (13.5432066 52.3784592, 13.5427261 52.3789344)"
tertiary,2.0,no,70,,,,excellent,"LINESTRING (13.5427261 52.3789344, 13.542646 52.3790263, 13.5426053 52.3790858, 13.542564 52.3791455, 13.5425348 52.3792083, 13.5425039 52.3793391, 13.5425095 52.3794713, 13.5425617 52.3796046, 13.5426451 52.3797263, 13.5427692 52.3798407, 13.5429437 52.3799505, 13.5430946 52.380017, 13.5432597 52.3800648, 13.5434235 52.3800976, 13.5436179 52.3801129)"
tertiary,2.0,no,50,,,K 6169,good,"LINESTRING (13.4666736 52.3672001, 13.4666953 52.3671212, 13.4667059 52.3670968, 13.466727 52.367048, 13.4667832 52.36696, 13.4668748 52.3668511, 13.4670132 52.3667177, 13.4671129 52.3666231, 13.467251 52.3664923)"
residential,,,30,,yes,,,"LINESTRING (13.2520509 52.4006261, 13.2522968 52.400587, 13.252405 52.4005201, 13.2524213 52.4004903)"
residential,,yes,30,,,,bad,"LINESTRING (13.5774581 52.4933352, 13.5774805 52.4933823, 13.5776047 52.4939265, 13.5775719 52.4939981)"
residential,,yes,30,,,,,"LINESTRING (13.4979671 52.6182039, 13.4979452 52.6181597, 13.4978762 52.6181168)"
residential,,no,,,,,,"LINESTRING (13.4279866 52.4559771, 13.4278787 52.4559144, 13.4278125 52.4558757, 13.427674 52.4558271, 13.4272926 52.4557983, 13.4269725 52.4557956, 13.4268861 52.4558008)"
tertiary,,,70,,,K 6903,good,"LINESTRING (13.2345515 52.3392125, 13.2352198 52.3392633, 13.2377039 52.3394596, 13.2412149 52.339674, 13.2429406 52.3397726, 13.2432629 52.3397819, 13.2472214 52.3398167, 13.2494293 52.3398356, 13.2502064 52.3398416, 13.2504244 52.3398354, 13.2505089 52.3398225, 13.2505877 52.3397976)"
tertiary,2.0,no,60,,no,K 6169,good,"LINESTRING (13.4779061 52.3603712, 13.4784818 52.3594617, 13.4790715 52.3585286, 13.4794478 52.3579375, 13.4796207 52.3576618, 13.4799918 52.3570768)"
tertiary,2.0,no,50,,no,K 6169,good,"LINESTRING (13.4667022 52.3510527, 13.4664726 52.3510563, 13.4661287 52.3510812)"
tertiary,2.0,no,,,no,K 6169,good,"LINESTRING (13.4575028 52.3503203, 13.4553679 52.349792, 13.4541279 52.3494892, 13.4537624 52.3493915, 13.4527565 52.3490894, 13.4521561 52.3489042, 13.4517639 52.3487832, 13.4507211 52.3484501, 13.4497338 52.3480784, 13.4489977 52.3477806)"
residential,,no,30,,,,intermediate,"LINESTRING (13.4452028 52.581575, 13.4453073 52.5815687, 13.4465312 52.5812317, 13.4469936 52.5810938, 13.4472723 52.5809585, 13.4482526 52.5803467, 13.4483523 52.5802846, 13.44954 52.5795448, 13.4507704 52.5784882, 13.4508648 52.5784026, 13.4510422 52.57823, 13.4511026 52.5781888, 13.4512396 52.5781304, 13.4537779 52.5772564, 13.4552143 52.5766588, 13.4561247 52.5762857, 13.4563841 52.5761808, 13.4566528 52.5760722, 13.4572988 52.5757972, 13.4574166 52.575747)"
tertiary,3.0,no,80,,,K 6169,good,"LINESTRING (13.4739226 52.3629338, 13.4740497 52.3628939)"
tertiary,2.0,yes,70,,yes,,excellent,"LINESTRING (13.5294449 52.3688935, 13.5290227 52.3687898, 13.5286568 52.3687099, 13.5284782 52.3686819, 13.5283065 52.3686784)"
residential,,yes,50,,,,good,"LINESTRING (13.3354683 52.4715781, 13.3352954 52.4716421)"
tertiary,2.0,no,50,,,K 6169,good,"LINESTRING (13.4666548 52.3673115, 13.4666736 52.3672001)"
residential,,,30,,,,good,"LINESTRING (13.7108737 52.4270988, 13.7105526 52.4270032)"
tertiary,2.0,yes,30,,yes,,good,"LINESTRING (13.3559065 52.4778889, 13.3559855 52.4779281, 13.3561144 52.4780045, 13.3563154 52.4781405, 13.3564586 52.478232, 13.3565545 52.478281, 13.3566013 52.4782942, 13.3566545 52.4783047, 13.3566682 52.4783063, 13.3567077 52.4783108, 13.3567816 52.4783167, 13.3568641 52.4783165, 13.3569031 52.4783105, 13.3570326 52.4782906)"
tertiary,2.0,no,100,,,,excellent,"LINESTRING (13.5505301 52.3729212, 13.5506387 52.3731705)"
tertiary,2.0,no,70,,,,excellent,"LINESTRING (13.5436179 52.3801129, 13.5437713 52.3801142, 13.5439182 52.3801083, 13.5442054 52.3800501, 13.5444887 52.3799423, 13.544712 52.3797917, 13.5449009 52.3795597, 13.5450086 52.3793577, 13.5450162 52.3793434, 13.5450556 52.3792661)"
tertiary,2.0,yes,50,,,,excellent,"LINESTRING (13.4400595 52.4816404, 13.4401779 52.4817319)"
tertiary,2.0,no,50,,,,good,"LINESTRING (13.5971658 52.3802708, 13.5971501 52.3803154, 13.5971231 52.3803856, 13.5970889 52.3804529, 13.597023 52.3805629, 13.5966735 52.381115, 13.5965681 52.3812248, 13.5963714 52.3813469, 13.5961917 52.3814078, 13.5959756 52.381421, 13.5957422 52.3814153, 13.595424 52.3813502, 13.5951367 52.3812468, 13.5948484 52.381107, 13.59414 52.3806786)"
tertiary,2.0,yes,70,,yes,,excellent,"LINESTRING (13.5283065 52.3686784, 13.5280898 52.3686855, 13.5279019 52.3687094, 13.5277748 52.3687407, 13.527696 52.3687648)"
residential,,yes,30,,yes,,,"LINESTRING (13.4707624 52.554778, 13.4708399 52.5547685, 13.4710513 52.5547425, 13.4710958 52.5547398, 13.4711532 52.5547364, 13.4712806 52.55474, 13.4716026 52.5547639, 13.4718513 52.5547856, 13.4721277 52.5548097, 13.4724972 52.5548386, 13.4725657 52.5548439, 13.472618 52.554848)"
residential,1.0,yes,50,,yes,,,"LINESTRING (13.4192791 52.4989409, 13.419243 52.4989733, 13.4192284 52.4991207, 13.419226 52.4991571)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.5476979 52.5429009, 13.5476583 52.5429387, 13.5476424 52.5429536, 13.5476375 52.5429584, 13.5475202 52.5430681, 13.5474684 52.5431425, 13.5472216 52.5436057)"
tertiary,2.0,yes,50,,,,good,"LINESTRING (13.3188188 52.5192065, 13.318943 52.5192788, 13.3189679 52.5192933)"
residential,,,,,,,,"LINESTRING (13.2035494 52.3888366, 13.2036266 52.3888085)"
tertiary,,yes,50,,,,good,"LINESTRING (13.4327026 52.4784453, 13.4327358 52.4783497)"
residential,,yes,50,,,,good,"LINESTRING (13.5830441 52.4622646, 13.582964 52.4622915, 13.5829283 52.4623045, 13.5828602 52.4623264)"
residential,,,30,,,,,"LINESTRING (13.1949042 52.6107708, 13.1949032 52.6107255, 13.194886 52.6101951, 13.1947169 52.6093204)"
tertiary,2.0,,,,,K 7238,good,"LINESTRING (13.4466797 52.3471049, 13.4465408 52.3470739)"
tertiary,2.0,no,60,,,K 6169,good,"LINESTRING (13.4806795 52.355817, 13.4808066 52.3557399, 13.4808582 52.3556862, 13.4809407 52.3555639, 13.4809974 52.3554854, 13.4815974 52.354531, 13.4817341 52.3543126, 13.4818276 52.3540902, 13.4818547 52.3539698, 13.4818721 52.3538495, 13.4818724 52.3537431, 13.4818582 52.3536366, 13.48184 52.3535407, 13.4817761 52.353352, 13.4816777 52.3531827, 13.4815234 52.3529841, 13.4813853 52.3528587, 13.4811933 52.3527083, 13.4809682 52.3525706, 13.4807553 52.3524711, 13.4805858 52.3524051, 13.4804105 52.3523458, 13.4800913 52.3522591, 13.4796074 52.3521525, 13.479491 52.3521735, 13.4793763 52.3522127)"
tertiary,1.0,no,60,,yes,K 6169,excellent,"LINESTRING (13.4803967 52.3563162, 13.480346 52.3563612, 13.4803241 52.3563993, 13.4803111 52.3565053, 13.4802809 52.3565758, 13.4802406 52.3566441)"
tertiary,1.0,no,60,,yes,K 6169,good,"LINESTRING (13.4804033 52.3560113, 13.4804586 52.3559722, 13.4806795 52.355817)"
tertiary,1.0,no,60,,yes,K 6169,excellent,"LINESTRING (13.4802406 52.3566441, 13.4802259 52.3565729, 13.4802273 52.3565082, 13.4802204 52.356399, 13.480196 52.356321)"
tertiary,1.0,no,60,,yes,K 6169,good,"LINESTRING (13.4806795 52.355817, 13.4805368 52.3560097, 13.4805005 52.3560581)"
tertiary,1.0,no,50,,,K 6169,excellent,"LINESTRING (13.4805005 52.3560581, 13.4805357 52.3560931, 13.480556 52.3561322, 13.4805601 52.3561732, 13.4805477 52.3562136, 13.4805196 52.356251, 13.4804773 52.3562831, 13.4804394 52.3563018, 13.4803967 52.3563162, 13.4803312 52.3563281, 13.4802629 52.3563297, 13.480196 52.356321, 13.480149 52.3563078, 13.4801069 52.3562895, 13.4800712 52.3562667, 13.4800407 52.3562372, 13.4800208 52.3562046, 13.4800122 52.3561586, 13.4800246 52.3561128, 13.4800571 52.3560709, 13.4801096 52.3560347, 13.4801769 52.3560092, 13.4802517 52.3559967, 13.4803292 52.3559974, 13.4804033 52.3560113, 13.4804563 52.3560313, 13.4805005 52.3560581)"
tertiary,2.0,yes,50,,yes,,excellent,"LINESTRING (13.3356428 52.5135851, 13.3356588 52.513442)"
tertiary,2.0,yes,50,,yes,,excellent,"LINESTRING (13.3357769 52.5134502, 13.3358226 52.5135968)"
tertiary,,,50,,,K 7241,,"LINESTRING (13.3205907 52.3732782, 13.3205836 52.373335, 13.3205459 52.3733871, 13.320482 52.3734287, 13.3204113 52.3734523, 13.3203324 52.3734625, 13.3202521 52.3734583, 13.3201771 52.3734402, 13.3201139 52.3734097, 13.3200678 52.3733693, 13.3200417 52.3733187, 13.3200426 52.3732656, 13.3200705 52.3732153, 13.3201227 52.3731727, 13.3201939 52.3731422, 13.3202633 52.3731281, 13.3203364 52.3731256, 13.320408 52.3731348, 13.3204731 52.3731553, 13.3205272 52.3731854, 13.3205664 52.3732231, 13.3205907 52.3732782)"
tertiary,2.0,yes,30,,,,good,"LINESTRING (13.5204817 52.3908262, 13.5207566 52.3909939, 13.5209084 52.3911385, 13.5209875 52.3912773, 13.5210765 52.3914998, 13.521171 52.3916426, 13.5212403 52.3917072, 13.5213273 52.3917754, 13.5214071 52.3918251, 13.5215061 52.3918749, 13.5217439 52.3919617, 13.5221123 52.3920593, 13.5223632 52.3921367, 13.5225604 52.3922173, 13.5227378 52.3922985, 13.5228196 52.3923348, 13.522905 52.3923589, 13.5230343 52.3923707, 13.5231372 52.3923647)"
residential,,yes,30,,,,bad,"LINESTRING (13.2923104 52.4414274, 13.2922584 52.4414746, 13.2919803 52.4417268, 13.2916779 52.442001, 13.2916649 52.4420128, 13.2916521 52.4420244, 13.2916006 52.4420719, 13.2915373 52.442131, 13.2915125 52.4421547)"
residential,,,30,,,,,"LINESTRING (13.2445936 52.4048729, 13.2448424 52.4046841, 13.2449837 52.4045684, 13.2454457 52.4041902)"
residential,,,30,,,,,"LINESTRING (13.253978 52.4051516, 13.254027 52.4051623, 13.2540623 52.4051811, 13.2540891 52.4052162, 13.2540883 52.4052499, 13.2540729 52.4052734, 13.2540475 52.4052923, 13.2539749 52.4053126, 13.2539221 52.4053101, 13.2538726 52.4052941, 13.253851 52.40528, 13.2538327 52.4052588, 13.2538261 52.4052411, 13.253827 52.4052186, 13.2538379 52.4051973, 13.2538645 52.4051743, 13.2539238 52.4051535, 13.253978 52.4051516)"
residential,,yes,30,,,,,"LINESTRING (13.2442803 52.4053327, 13.2443033 52.405167, 13.2443527 52.4050589, 13.2445936 52.4048729)"
residential,,,30,,,,,"LINESTRING (13.4222613 52.6817055, 13.4222484 52.6816447, 13.4221415 52.6813387, 13.4220925 52.6812418)"
tertiary,1.0,yes,50,,,,good,"LINESTRING (13.7442132 52.4980255, 13.7442599 52.4980509, 13.7442961 52.4980879, 13.7443105 52.4981249, 13.7443071 52.4981629, 13.7442863 52.4981987, 13.7442617 52.4982213, 13.7442302 52.4982405, 13.744174 52.4982606, 13.7441106 52.4982698, 13.7440688 52.4982695, 13.7440279 52.4982644, 13.7439764 52.4982501, 13.7439326 52.4982283, 13.7438994 52.4982004, 13.7438826 52.4981761, 13.743874 52.4981502, 13.7438783 52.4981074, 13.7439046 52.4980677, 13.7439503 52.498035, 13.7439937 52.4980175, 13.7440427 52.4980068, 13.7440945 52.4980034, 13.7441565 52.4980092, 13.7442132 52.4980255)"
tertiary,2.0,,70,,,K 6903,good,"LINESTRING (13.1738627 52.330758, 13.1743535 52.330881, 13.1751582 52.3310596, 13.1758445 52.3311931, 13.1781456 52.3316949, 13.1785177 52.331787, 13.1788099 52.3319035, 13.1791216 52.3320794, 13.1804701 52.3329187, 13.1813561 52.3334586, 13.1826102 52.3342264, 13.1836675 52.3349494, 13.1851834 52.3359752, 13.1863736 52.3367619, 13.1879442 52.3377326, 13.1886774 52.3381602, 13.1891129 52.3383764, 13.1896813 52.3386437, 13.189798 52.3386981)"
tertiary,2.0,no,100,,,,excellent,"LINESTRING (13.5506387 52.3731705, 13.5506865 52.3733287, 13.5507188 52.3735085, 13.5507289 52.3736562, 13.5507292 52.3737719, 13.5507196 52.3738686, 13.5506979 52.3740144, 13.5506465 52.3742157, 13.5505429 52.3744808, 13.550428 52.3746785, 13.5502245 52.3749645, 13.5499754 52.3752761, 13.5495751 52.3757711)"
residential,2.0,,30,,,,,"LINESTRING (13.3620082 52.5363997, 13.3619075 52.5362969, 13.3614255 52.5357784, 13.36222 52.5349519)"
tertiary,,yes,50,,,,,"LINESTRING (13.2937646 52.3583807, 13.2937893 52.3584257, 13.2937898 52.3584732, 13.2937661 52.3585185, 13.2937206 52.358557, 13.2936577 52.3585849, 13.2935896 52.3585989, 13.2935179 52.3586003, 13.2934485 52.3585891, 13.2933873 52.3585662, 13.2933395 52.3585335, 13.2933091 52.3584937, 13.293299 52.358444, 13.293316 52.358395, 13.2933585 52.3583521, 13.2934216 52.3583201, 13.2934984 52.3583024, 13.2935804 52.3583011, 13.2936547 52.3583151, 13.2937182 52.3583426, 13.2937646 52.3583807)"
tertiary,3.0,no,80,,,K 6169,good,"LINESTRING (13.4735077 52.3630955, 13.4739226 52.3629338)"
tertiary,2.0,no,60,,no,K 6169,good,"LINESTRING (13.474838 52.3627119, 13.4751861 52.3626492, 13.4755238 52.3625787, 13.47576 52.3625085, 13.4760427 52.3624091, 13.476314 52.3622791, 13.4766202 52.3621031, 13.4768079 52.3619566, 13.4769957 52.3617607, 13.4771166 52.3616157, 13.4772019 52.3614866, 13.4773454 52.3612588, 13.4776457 52.3607877, 13.4779061 52.3603712)"
tertiary,3.0,no,80,,,K 6169,good,"LINESTRING (13.4740497 52.3628939, 13.4743898 52.3627986)"
residential,,,30,,no,,,"LINESTRING (13.310081 52.6778294, 13.3099792 52.67801)"
residential,1.0,,30,,no,,,"LINESTRING (13.3105934 52.6810048, 13.310558 52.6810305, 13.3105099 52.6810517, 13.310437 52.6810604, 13.3103413 52.6810568, 13.3102427 52.6810459, 13.3101417 52.6810283, 13.3100525 52.6809989, 13.3095753 52.6808128, 13.3094449 52.6807461, 13.3093254 52.6806691, 13.3088159 52.6802153, 13.3087562 52.6801737, 13.3086477 52.6801071, 13.3085682 52.6800631)"
residential,,yes,30,,,,good,"LINESTRING (13.758636 52.623621, 13.7583998 52.623291)"
residential,,yes,30,,,,good,"LINESTRING (13.4932828 52.5852131, 13.4933516 52.5858439, 13.4933466 52.5858714)"
residential,,yes,30,,yes,,,"LINESTRING (13.3443259 52.5512399, 13.3441235 52.5511139)"
residential,,,30,,yes,,bad,"LINESTRING (13.2241332 52.4357231, 13.2241444 52.435677, 13.2241817 52.4356321, 13.2242359 52.4355996, 13.2243036 52.4355787, 13.2243786 52.4355713, 13.2244538 52.4355781, 13.224526 52.4356004, 13.2245826 52.4356357, 13.2246174 52.4356803, 13.2246267 52.4357293, 13.2246134 52.4357711, 13.2245775 52.4358122, 13.2245227 52.4358447, 13.2244542 52.4358654, 13.2243786 52.4358723, 13.2243031 52.4358648, 13.224235 52.4358436, 13.2241808 52.4358106, 13.2241457 52.4357692, 13.2241332 52.4357231)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.5981181 52.5382136, 13.5981696 52.5382181, 13.5982122 52.5382204, 13.5984608 52.5382429, 13.5986462 52.5382597, 13.5987975 52.5382686)"
tertiary,2.0,yes,50,,,,excellent,"LINESTRING (13.5191033 52.4433168, 13.5190328 52.4432639, 13.519005 52.4432432, 13.518933 52.443189)"
residential,1.0,no,30,,no,,intermediate,"LINESTRING (13.7182982 52.5583579, 13.7178944 52.5589066)"
tertiary,3.0,no,100,,,,excellent,"LINESTRING (13.5498462 52.3716874, 13.549899 52.3718583, 13.5499718 52.3720072, 13.5500782 52.3721835, 13.5504347 52.3727406, 13.5505301 52.3729212)"
residential,,yes,30,,,,good,"LINESTRING (13.5191722 52.4929703, 13.5190924 52.493104)"
residential,,yes,30,,,,,"LINESTRING (13.1950843 52.4037499, 13.1951204 52.4037414, 13.1951591 52.4037406, 13.1951959 52.4037477, 13.1952269 52.4037619, 13.1952475 52.4037801, 13.1952578 52.4038013, 13.1952569 52.4038233, 13.1952448 52.4038441, 13.1952226 52.4038616, 13.1951905 52.4038748, 13.1951531 52.4038806, 13.1951146 52.4038788, 13.1950793 52.4038691, 13.1950511 52.403853, 13.1950333 52.403832, 13.1950278 52.4038087, 13.1950353 52.4037855, 13.1950549 52.4037651, 13.1950843 52.4037499)"
residential,1.0,yes,50,,yes,,,"LINESTRING (13.3469127 52.4826322, 13.346687 52.4826171)"
residential,,,,,,,,"LINESTRING (13.2122934 52.5664401, 13.212799 52.5663553, 13.21312 52.5663015, 13.213263 52.5662775)"
residential,,,,,,,,"LINESTRING (13.213263 52.5662775, 13.2133681 52.5664922, 13.2134856 52.5667323, 13.2135607 52.5668856, 13.2135446 52.5669459, 13.2134821 52.5670136)"
residential,,,,,,,,"LINESTRING (13.213263 52.5662775, 13.2131436 52.5660195, 13.2130833 52.5658699)"
tertiary,,,50,,,,excellent,"LINESTRING (13.5511019 52.3691514, 13.5511776 52.3691878, 13.5512399 52.3692327, 13.5512863 52.3692843, 13.5513149 52.3693405)"
tertiary,2.0,no,100,,,,excellent,"LINESTRING (13.5505532 52.3696335, 13.5504907 52.3696955, 13.5504727 52.3697142, 13.5503532 52.3698392, 13.5502195 52.3700029, 13.5501152 52.3701485, 13.5500076 52.3703124, 13.5499425 52.3704369, 13.5499011 52.3705399, 13.5498496 52.3706857, 13.5498123 52.3708406, 13.5497894 52.3709877, 13.5497777 52.3711501, 13.549787 52.3712938, 13.549806 52.3714565, 13.5498462 52.3716874)"
residential,,,,,,,,"LINESTRING (13.1405116 52.3802361, 13.1418217 52.3802684)"
residential,,,,,,,,"LINESTRING (13.1409004 52.3796028, 13.1408323 52.3796022, 13.1407747 52.3796158, 13.1407374 52.3796347, 13.1407089 52.3796612, 13.1404614 52.3801314)"
tertiary,2.0,no,70,,,,good,"LINESTRING (13.1437862 52.5078293, 13.1423586 52.5081322, 13.1360877 52.5094313, 13.1359609 52.5094397, 13.1333046 52.5095517)"
residential,,yes,30,,,,bad,"LINESTRING (13.3075042 52.6188827, 13.3073898 52.6188042, 13.307348 52.6187738, 13.3073089 52.6187287, 13.3073042 52.618699, 13.3073314 52.6186493)"
residential,,yes,30,,,,bad,"LINESTRING (13.3075205 52.6184843, 13.3075891 52.6184242, 13.3076385 52.6183979, 13.3077129 52.6183894, 13.3077811 52.6183944, 13.3078353 52.6184186, 13.3079032 52.6184579, 13.3079275 52.6184792)"
residential,,yes,20,,,,bad,"LINESTRING (13.6284925 52.4846919, 13.6285243 52.4846772, 13.6285692 52.4846578, 13.6285994 52.4846448, 13.6286695 52.4846174)"
tertiary,2.0,no,70,,,K 6427,good,"LINESTRING (13.7553152 52.5780195, 13.7554396 52.5780413, 13.7558709 52.5781223, 13.7563557 52.5782134, 13.7565945 52.5782626, 13.7569286 52.5783434, 13.7573446 52.5784537, 13.758154 52.5786779, 13.7590028 52.5789056, 13.759271 52.5789832, 13.7595089 52.5790535, 13.7602152 52.5792852)"
