highway,lanes,lit,maxspeed,name,oneway,ref,smoothness,geometry
secondary,1,yes,50,Brandenburgische Straße,yes,,,"LINESTRING (13.3070133 52.4995426, 13.3070195 52.4995157, 13.3070945 52.4991948, 13.3071258 52.4990375, 13.3071332 52.4989968, 13.3071504 52.4989137)"
secondary,,yes,50,Argentinische Allee,yes,,,"LINESTRING (13.2364589 52.4401547, 13.2365916 52.4402177, 13.2371819 52.4404979, 13.2379782 52.4409347, 13.2384245 52.4412159, 13.2388449 52.4414954, 13.2391007 52.4416855, 13.2393495 52.4418765, 13.2396486 52.4421147, 13.2399336 52.442395, 13.2400949 52.4425536)"
secondary,2,yes,50,Hohenzollerndamm,yes,,,"LINESTRING (13.278936 52.4754811, 13.2787928 52.4753764, 13.2786832 52.4752813, 13.2785872 52.4751715)"
secondary,2,yes,50,Dillenburger Straße,yes,,,"LINESTRING (13.307725 52.4687291, 13.3076182 52.4689194, 13.3076022 52.4689438, 13.3075894 52.4689633)"
primary,3,yes,50,Kirchhainer Damm,yes,B 96,,"LINESTRING (13.4103606 52.3869027, 13.4101651 52.3871864)"
primary,3,yes,50,Tempelhofer Damm,yes,B 96,good,"LINESTRING (13.3854719 52.4684592, 13.3854746 52.4681587, 13.3854775 52.467845, 13.3854797 52.4675969, 13.3854831 52.4672243)"
secondary,2,yes,50,Hohenzollerndamm,yes,,,"LINESTRING (13.2789379 52.4753028, 13.2792988 52.4755579)"
secondary,3,yes,50,Hohenzollerndamm,yes,,excellent,"LINESTRING (13.29986 52.48762, 13.2998205 52.487599)"
secondary,2,yes,50,Mecklenburgische Straße,yes,,,"LINESTRING (13.3133561 52.4805334, 13.3138546 52.4808217)"
secondary,2,yes,50,Mecklenburgische Straße,yes,,,"LINESTRING (13.3199994 52.4836798, 13.3197763 52.4836084, 13.3195404 52.4835293, 13.3190864 52.483345, 13.3189048 52.4832644, 13.3184837 52.4830553, 13.3181877 52.4828994, 13.3179563 52.482785, 13.3175728 52.4825831, 13.3171378 52.482389, 13.3169685 52.4823275, 13.3164687 52.4821459, 13.3159088 52.4819577)"
secondary,2,yes,50,Detmolder Straße,yes,,,"LINESTRING (13.3129361 52.4803268, 13.3130437 52.4802589, 13.3130625 52.4802453, 13.3132135 52.4801412, 13.3133202 52.4800344, 13.3133461 52.4799978, 13.3133947 52.4799128, 13.3134518 52.4797933, 13.3135488 52.4795858, 13.3136396 52.4794301, 13.3137179 52.4793159, 13.3137832 52.4792414, 13.313857 52.47918, 13.3139571 52.4791102, 13.314076 52.4790436, 13.314446 52.4788842, 13.3151344 52.4786374, 13.3155234 52.4785142, 13.3158446 52.4784231, 13.316132 52.4783472, 13.3164579 52.4782704)"
secondary,2,yes,50,Mecklenburgische Straße,yes,,good,"LINESTRING (13.311668 52.4798498, 13.3115119 52.4797704, 13.3114531 52.4797387, 13.3113232 52.4796675)"
secondary,3,yes,50,Invalidenstraße,yes,,good,"LINESTRING (13.364995 52.5251072, 13.3651414 52.525128, 13.3654512 52.525172, 13.3655103 52.5251874, 13.3658139 52.525265)"
secondary,3,yes,50,Hohenzollerndamm,yes,,good,"LINESTRING (13.315084 52.4905866, 13.3151178 52.490597, 13.3151707 52.4906137, 13.3153072 52.4906555, 13.3154358 52.4907)"
secondary,2,yes,50,Hohenzollerndamm,yes,,,"LINESTRING (13.3296834 52.4953166, 13.3295003 52.4952977, 13.3280684 52.4951378, 13.3276769 52.4950941, 13.3273105 52.4950237, 13.3272499 52.4950096, 13.3271031 52.4949768)"
secondary,3,yes,50,Breite Straße,yes,,,"LINESTRING (13.290723 52.4752756, 13.2909477 52.4752399, 13.2912148 52.475184, 13.2914143 52.4751291)"
secondary,2,yes,50,Uhlandstraße,yes,,good,"LINESTRING (13.3205584 52.4836982, 13.3209102 52.4838014, 13.3211517 52.4838779, 13.3213118 52.4839351, 13.3215044 52.4840133, 13.3216639 52.4840857, 13.3217755 52.4841481, 13.3219357 52.4842476, 13.322075 52.4843528)"
primary,3,yes,30,Potsdamer Straße,yes,B 1,good,"LINESTRING (13.3683623 52.5058261, 13.368395 52.5058693)"
primary,3,yes,50,Martin-Luther-Straße,yes,,,"LINESTRING (13.3451498 52.4893054, 13.3451851 52.4902072)"
secondary,3,yes,50,Neue Kantstraße,yes,,,"LINESTRING (13.2833771 52.5063855, 13.283475 52.5063871, 13.2835395 52.5063881, 13.283709 52.5063908)"
secondary,3,yes,50,Kantstraße,,,,"LINESTRING (13.3334213 52.5052051, 13.3332115 52.5052151, 13.3326572 52.5052502)"
primary,4,yes,30,Leipziger Platz,,B 1,good,"LINESTRING (13.3779568 52.5096068, 13.3782529 52.5096252, 13.3784781 52.5096385, 13.3789232 52.5096668)"
primary,3,yes,30,Potsdamer Platz,yes,B 1,,"LINESTRING (13.3767712 52.5095949, 13.3766877 52.509598, 13.3765714 52.5095982)"
secondary,3,yes,50,Nachodstraße,yes,,,"LINESTRING (13.3372621 52.4946123, 13.3371001 52.4946575, 13.3369703 52.4946923, 13.3366839 52.4947656, 13.3365529 52.4948012)"
secondary,3,yes,50,Rudi-Dutschke-Straße,,,good,"LINESTRING (13.3967371 52.5071039, 13.3967914 52.5071073, 13.3969325 52.5071162)"
secondary,1,yes,30,Kantstraße,yes,,,"LINESTRING (13.2950389 52.5067696, 13.2953093 52.5067807, 13.2954928 52.5067836, 13.2957488 52.5067806, 13.2958041 52.5067803, 13.2960171 52.5067765)"
secondary,2,yes,50,Potsdamer Platz,yes,,good,"LINESTRING (13.3765815 52.5094194, 13.3765896 52.5093576, 13.3765986 52.5092883, 13.3765998 52.5092786, 13.3766403 52.5090894, 13.3766653 52.50901, 13.3767026 52.508935, 13.3767412 52.5088821, 13.3767758 52.5088366, 13.3768396 52.5087708, 13.3769084 52.5087096, 13.3770793 52.5085774)"
secondary,1,yes,50,Stresemannstraße,yes,,,"LINESTRING (13.3835634 52.5035873, 13.3834387 52.5036874, 13.383379 52.5037332, 13.3832666 52.5038222, 13.3828038 52.5041876, 13.3826882 52.5042776)"
secondary,3,yes,50,Hubertusallee,,,,"LINESTRING (13.284863 52.4913982, 13.284865 52.4914172, 13.2848735 52.4914951, 13.2848877 52.4916253, 13.2848945 52.4916877)"
